,INDUCED_VERTICAL_BREAK_PRED
0,5.947259745247079
1,9.634157520017036
2,12.15061134432388
3,7.587824516964632
4,9.30193790639028
5,6.86127528363244
6,-2.125497502240571
7,2.250290282316696
8,4.8897062585366395
9,6.00880005734839
10,-1.5462384226977273
11,15.324654124968095
12,13.164408886514149
13,11.493333015137782
14,6.871563680208123
15,9.376839904053783
16,-5.855352670103447
17,9.459969685213576
18,3.609778946745866
19,-12.253018849689681
20,-9.797041329706033
21,14.711506092658194
22,5.953516970550714
23,13.69473781910773
24,9.733934489073794
25,5.046184543129257
26,7.489928807787138
27,-2.424477216526939
28,6.879102564064503
29,13.713155012243723
30,-0.20601549071777292
31,-3.5121804761650894
32,9.952593918001135
33,2.6111610903218594
34,5.449594713371944
35,2.6129132465852214
36,11.75847864910102
37,7.273351628096812
38,4.15217756190526
39,11.346970446632351
40,10.160484290255747
41,4.92351419691642
42,11.459431264374462
43,4.30918031421826
44,16.39826287317635
45,7.032024664302048
46,12.951593185701775
47,18.158274193691366
48,13.892078448343803
49,9.732622582381042
50,1.3968826981891462
51,18.18903833598923
52,1.8551297643902585
53,13.179695812293026
54,12.360063489728379
55,13.203202053087322
56,15.355359638728274
57,4.154808341267161
58,-4.608823777490261
59,14.794474430084069
60,14.883421503912187
61,14.86050992016412
62,2.392546906810318
63,12.917813574514952
64,1.335157324387314
65,11.29135625885742
66,-2.9531346866344395
67,-0.4944965625816051
68,-4.751356403169299
69,1.1817401228751816
70,6.118875321588451
71,6.040030442872791
72,2.026466440276746
73,2.831620705554026
74,20.373906496564928
75,2.09323462551409
76,4.357053533715199
77,10.750876370108767
78,10.67590310766571
79,6.501875115037169
80,5.704802443335914
81,9.536647877691076
82,6.015011032903477
83,9.156850844018866
84,8.316415255304383
85,12.198080206800663
86,3.1497552916237943
87,19.95063900253456
88,11.521937679044008
89,8.78382678798705
90,13.2927957606143
91,11.12950489748905
92,13.758546956946937
93,5.044018147062303
94,2.6178894342304595
95,10.989635883417915
96,8.886430493544728
97,8.999360723445882
98,1.659558720344613
99,2.6732672429494677
100,-5.436212591439642
101,19.11866800429617
102,-1.4526473735040808
103,-2.0700724901105145
104,16.08305717870457
105,-0.9556561663275494
106,-2.9842814231978076
107,13.129290732553212
108,17.224797008114514
109,18.404404996509708
110,12.999264600593534
111,11.520712463611375
112,8.657207973289205
113,6.1801871791096525
114,17.547050154545513
115,12.460199592287644
116,-3.617187092296601
117,6.282382835126638
118,-7.497293222623438
119,16.046040136906374
