,PLATE_X,PLATE_Z,VERTICAL_APPROACH_ANGLE
0,-0.15488794815785917,1.781198870500296,-8.390128733629496
1,-0.1405135285466996,1.783704127610558,-8.405657019341701
2,-0.17789090067557428,1.7996340834517983,-8.372470023824706
3,-0.1520399295263347,1.7688303989590652,-8.33384458036368
4,-0.13332180518666617,1.771377524769419,-8.353635598828147
5,-0.1439105215116238,1.7868304986910093,-8.403006057305808
6,-0.16613790627140923,1.7528522467033278,-8.353120022875906
7,-0.14742399247302596,1.749909317950318,-8.383548149730254
8,-0.1320068327315248,1.7923531125402847,-8.397945550832425
9,-0.13420306264581353,1.7802719649585832,-8.3337650347689
10,-0.1410709221213205,1.7962236091171078,-8.345851651957421
11,-0.14800633599336244,1.782983770014883,-8.35703683202654
12,-0.16564266212761744,1.7757374456746815,-8.330895443642781
13,-0.13654214491253297,1.742802445187518,-8.393429588305763
14,-0.1606274963905906,1.7435844303797905,-8.39179802217402
15,-0.178794075467863,1.7590298333017116,-8.401764052800608
16,-0.1338349895358287,1.750273148281095,-8.316779254183063
17,-0.1669923173720347,1.7846326339662453,-8.358556305647838
18,-0.17993547844649324,1.7969015387106517,-8.322035130883425
19,-0.1494984512672256,1.7674026986734594,-8.39613110678678
20,-0.17323295100181096,1.7818419540900483,-8.331169718729203
21,-0.16493423467560225,1.7888580285831728,-8.396736752927486
22,-0.13916496813409798,1.780631808264298,-8.361862005066765
23,-0.15689783426253143,1.787663925250726,-8.336457213921879
24,-0.16494828291636177,1.75792891242642,-8.411670704443084
25,-0.15547654450315715,1.7639767382456377,-8.321381118034553
26,-0.15645057995578449,1.7761436319628947,-8.349396251917561
27,-0.13455065840675468,1.7940538517291795,-8.360227323527864
28,-0.17156778628873545,1.7733450966811426,-8.401185828431464
29,-0.18059823917707366,1.7914602282127525,-8.323402841237664
30,-0.15427440746242843,1.7733904916039092,-8.351976315228287
31,-0.15630073665570282,1.7942879831720597,-8.331545155671874
32,-0.17636421409938866,1.7594357804165655,-8.392947044048446
33,-0.1564142140224993,1.7858477251561868,-8.377069052148578
34,-0.1409269201236153,1.7912647292136317,-8.34723703687791
35,-0.18402458059019153,1.765860036691678,-8.376464531861618
36,-0.1602321849485424,1.7423541989140081,-8.404100908556378
37,-0.1809696254411355,1.7987100154323319,-8.415871416729932
38,-0.15489957850264044,1.7493845098248986,-8.31680489020339
39,-0.16640625392239097,1.8069364727596045,-8.348879965766393
40,-0.1660729407257573,1.7652389573760137,-8.400718714086132
41,-0.15771448887151487,1.7528241697846842,-8.370857758235342
42,-0.1408368375193546,1.7768660029692736,-8.407249343412976
43,-0.15248634128861913,1.7671357760241575,-8.344166065158639
44,-0.1315471355127255,1.8000687359165792,-8.376575785199961
45,-0.16857372156267908,1.804484213254824,-8.346889432213375
46,-0.1574714520500437,1.7629361754588073,-8.31719570889287
47,-0.1315711865394601,1.7835907476194979,-8.341573640032157
48,-0.1582499563928879,1.7923641689294763,-8.403008523880136
49,-0.1833186235675867,1.7798458660934746,-8.39672816053081
50,-0.14745752084889896,1.7847933338151447,-8.348140956770237
51,-0.1418326634937324,1.7980728296840647,-8.321571160678298
52,-0.18247390208535047,1.7446047431053289,-8.357034532219176
53,-0.16525973631516602,1.759529654586248,-8.336504711641595
54,-0.14140952870878495,1.799056947547966,-8.342662624284467
55,-0.149466108200136,1.7711819124962012,-8.389367814928281
56,-0.14053042799102541,1.7516742870355133,-8.409631355155735
57,-0.1360620573250754,1.7565045210480976,-8.32043567891327
58,-0.1705084866648651,1.8013099650879236,-8.40322120550506
59,-0.17647662858208943,1.7494888022790462,-8.32435401829862
60,-0.13978196761161288,1.8000340971025748,-8.318850257731025
61,-0.1704569082403561,1.8040782877614916,-8.389905425947791
62,-0.15135845445570964,1.7926404104671352,-8.320893724552842
63,-0.16198535179023407,1.7561945513361588,-8.335202669371473
64,-0.14979563143279337,1.7522657821669791,-8.371132936050559
65,-0.145295982986814,1.7892637135333076,-8.322531928234058
66,-0.14276762877680282,1.768465734934502,-8.326472775963216
67,-0.1401693549494418,1.7812147579248556,-8.405041061185068
68,-0.17254029438935728,1.8063993229336965,-8.345448281605472
69,-0.15579544859277242,1.7990677222931524,-8.389048574311088
