,INDUCED_VERTICAL_BREAK_PRED
0,-4.57308046734674
1,10.437267531981998
2,4.465859331585806
3,17.45399961050321
4,2.376830914545442
5,5.257956922133754
6,16.84783094473685
7,15.469175061471912
8,-2.6859467581918786
9,2.2041955038392445
10,7.249343417164809
11,12.832956916921837
12,9.60701208438155
13,6.633974410803613
14,0.8008670639358195
15,-1.1781170221140638
16,12.78578261802597
17,17.501423690178196
18,0.7649680712731364
19,2.934440213149559
20,13.797470494683248
21,-8.887230021672423
22,10.130625803496402
23,13.234917927290624
24,20.185205773908066
25,10.559287422084502
26,-1.1217131914532992
27,-9.025186766775239
28,0.817567832850937
29,17.360757566363528
30,0.28687667674880934
31,14.95887434248931
32,4.241422688140043
33,12.209453830456193
34,10.904638397468815
35,10.70452774485822
36,16.055257183698373
37,-4.0889675703210315
38,-9.854884380153973
39,4.018758273038136
40,-3.340331193290048
41,1.5774085724490412
42,8.2519916603336
43,11.270579970790237
44,14.426150351237277
45,15.430391069358839
46,12.420594297789327
47,0.5891572696204701
48,10.438584709647467
49,1.8920700226377285
50,11.29950790508149
51,1.5246193080704904
52,12.206183173415532
53,-1.947422361444989
54,4.763517241704358
55,9.309343033002843
56,-0.9189622369541048
57,1.6583310562344877
58,7.94820561834408
59,15.053735870532957
60,4.620761121986122
61,2.987951281868307
62,11.915314933054068
63,7.446549653753948
64,1.2143614762103372
65,5.31382544586041
66,6.810446934893331
67,16.093400034059243
68,-0.18374253509686334
69,3.453525005273171
70,9.887507760960187
71,8.572680884218567
72,-3.380569180908399
73,3.6334195411593395
74,15.32826415046246
75,10.17147447581652
76,19.223119930082955
77,10.569691782444208
78,13.58838132444404
79,-3.2784313538900562
80,15.757341942211061
81,-11.756000940280796
82,13.471613126513034
83,10.326646292963526
84,-14.634793100390556
85,15.018406392810546
86,14.686242512827873
87,4.102543919594872
88,17.463443866479288
89,18.298409175293248
90,8.93126441476097
91,-2.130227770324435
92,-10.4193194485397
93,5.119862516336312
94,14.79479383854213
95,13.763255881814647
96,11.678344086397061
97,5.232998427309034
98,-8.499877905569054
99,16.317447164669616
100,14.062347777330753
101,13.36914013187614
102,11.423341594803318
103,-16.03793185295496
104,-6.760494295994892
105,7.697043898846731
106,14.82409339567512
107,13.047406505036413
108,-11.851123647013104
109,1.8466981785850036
110,12.63310243284067
111,10.181234779122619
112,4.66883762530018
113,0.6207360093609644
114,11.427503717681684
115,1.808401913680493
116,6.815504191568585
117,-6.512760669129733
118,2.5071865256731316
119,-4.692772101787668
120,11.048690265318434
121,-2.591693196408027
122,-0.2351380918558572
123,7.595991381087098
124,16.934744915018694
125,12.235240421024184
126,13.132697813139458
127,5.374066872970202
128,-2.9992647290386145
129,9.39527862967726
130,4.399584279878603
131,18.731604488941237
132,-5.528431854666659
133,14.935787911981345
134,8.201728153677879
135,9.950811011982825
136,12.364703481147918
137,19.123823663765194
138,4.203912403549962
139,12.201244638122745
140,14.742499906276102
141,15.201813219181748
142,13.45650893318948
143,-0.6951869666629289
144,12.222946964974815
145,12.929269516062305
146,-4.805669421942682
147,10.961975097122421
148,5.668335861387746
149,15.666252622162308
150,-1.4511579588880714
151,2.737752083532765
152,-2.545036735650342
153,16.52408539662759
154,5.267948355291717
155,13.782486904833554
156,12.050076573505503
157,13.657201979387764
158,11.189328216801691
159,5.29200872105781
160,6.086729519895694
161,8.951742425744282
162,10.070570265897377
